#,Page Name,Page URL,Reviewer Name,Reviewer Role,Review Date,Visual Design (1-5),Copy Clarity (1-5),Speed/Performance (1-5),Mobile Experience (1-5),Trust/Credibility (1-5),Conversion Clarity (1-5),Overall (1-5),What Worked,What Didn't Work,Specific Change Requested,Status,CTO Response,Linked PR/Commit,Resolved On
1,Homepage,https://qorium.online/,,,,,,,,,,,,,,New,,,
2,About,https://qorium.online/about,,,,,,,,,,,,,,New,,,
3,Blog (index),https://qorium.online/blog,,,,,,,,,,,,,,New,,,
4,Blog post — Leak problem,https://qorium.online/blog/leak-problem,,,,,,,,,,,,,,New,,,
5,Blog post — Role graph,https://qorium.online/blog/role-graph,,,,,,,,,,,,,,New,,,
6,Blog post — Seven stages,https://qorium.online/blog/seven-stages,,,,,,,,,,,,,,New,,,
7,Changelog,https://qorium.online/changelog,,,,,,,,,,,,,,New,,,
8,Contact,https://qorium.online/contact,,,,,,,,,,,,,,New,,,
9,Customers,https://qorium.online/customers,,,,,,,,,,,,,,New,,,
10,Demo,https://qorium.online/demo,,,,,,,,,,,,,,New,,,
11,Data Processing Agreement,https://qorium.online/dpa,,,,,,,,,,,,,,New,,,
12,Features (index),https://qorium.online/features,,,,,,,,,,,,,,New,,,
13,Feature — JD-Forge,https://qorium.online/features/jd-forge,,,,,,,,,,,,,,New,,,
14,Feature — ReadyBank,https://qorium.online/features/readybank,,,,,,,,,,,,,,New,,,
15,Feature — Stack-Vault,https://qorium.online/features/stack-vault,,,,,,,,,,,,,,New,,,
16,Press Kit,https://qorium.online/press-kit,,,,,,,,,,,,,,New,,,
17,Pricing,https://qorium.online/pricing,,,,,,,,,,,,,,New,,,
18,Privacy Policy,https://qorium.online/privacy,,,,,,,,,,,,,,New,,,
19,Product (overview),https://qorium.online/product,,,,,,,,,,,,,,New,,,
20,Security,https://qorium.online/security,,,,,,,,,,,,,,New,,,
21,Solution — Enterprises & GCCs,https://qorium.online/solutions/enterprises,,,,,,,,,,,,,,New,,,
22,Solution — Platforms,https://qorium.online/solutions/platforms,,,,,,,,,,,,,,New,,,
23,Solution — Staffing,https://qorium.online/solutions/staffing,,,,,,,,,,,,,,New,,,
24,Terms of Service,https://qorium.online/terms,,,,,,,,,,,,,,New,,,
